country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
UKR,Ukraine,Bolgrad,WKS0062408,34.1,45.765,28.599,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,51.11,50.24,53.03,49.69,51.18,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Burshtyn power station,WRI1005097,2334,49.2104,24.6665,Coal,,,,1979,DTEK,GCPT,https://endcoal.org/global-coal-plant-tracker/,GEODB,1033750,,,,,,,,,,,,,,4636.28,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Cherkasy power station,WRI1075852,180,49.3905,32.0674,Coal,,,,1966,JSC Cherkasy CHP,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,357.55,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Cherniatka,WKS0064384,7.7,48.481,29.689,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,11.42,11.38,11.31,11.53,11.47,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Chernihiv power station,WRI1075853,200,51.455,31.2602,Coal,,,,1968,Kyivenergo,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,397.28,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Darnytska power station,WRI1075854,150,50.4478,30.6429,Coal,,,,1965,JSC Darnytska TETS,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,297.96,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Dneipro HPP 2,WRI1005120,1538,47.8675,35.0897,Hydro,,,,,Dnipro-SHEM PJSC,Dnipro-SHEM PJSC,http://sgem.com.ua/our_activity.html,WRI,1013725,,,,,,,,,,8067.95,8273.75,4970.77,5214.63,5012.78,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
UKR,Ukraine,Dniester,WRI1005115,702,48.5136,27.4733,Hydro,,,,,Dnipro-SHEM PJSC,Dnipro-SHEM PJSC,http://sgem.com.ua/our_activity.html,GEODB,1068582,,,,,,,,,,1572.49,1371.79,1271.7,1375.55,1371.79,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
UKR,Ukraine,Dniester (pumped storage),WRI1005116,648,48.5136,27.4733,Hydro,,,,,Dnipro-SHEM PJSC,Dnipro-SHEM PJSC,http://sgem.com.ua/our_activity.html,GEODB,1033041,,,,,,,,,,1444.89,1259.63,1167.24,1263.09,1259.63,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
UKR,Ukraine,Dniprodzerzhynsk,WRI1005119,357,48.5485,34.541,Hydro,,,,,Dnipro-SHEM PJSC,Dnipro-SHEM PJSC,http://sgem.com.ua/our_activity.html,GEODB,1013715,,,,,,,,,,1957.82,1813.1,888.56,1064.15,1004.27,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
UKR,Ukraine,Dobrotvir power station,WRI1005096,500,50.2133,24.375,Coal,,,,1962,DTEK,DTEK,http://www.dtek.com/library/file/dtek-report-eng-2015-web.PDF,GEODB,1033751,,,,,,,,,,,,,,993.2,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Dunayskaya,WKS0061381,43.2,45.98,29.462,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,65.08,64.56,66.22,62.78,65.21,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Gnatkiv,WKS0062317,5,48.466,28.453,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,7.22,7.19,7.43,7.61,7.49,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Kakhovka,WRI1005118,343,46.7786,33.3697,Hydro,,,,,Dnipro-SHEM PJSC,Dnipro-SHEM PJSC,http://sgem.com.ua/our_activity.html,GEODB,1013716,,,,,,,,,,1881.04,1970.3,827.24,1022.42,986.68,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
UKR,Ukraine,Kalush power station,WRI1075855,240,49.0705,24.3185,Coal,,,,1968,DTEK Zakhidenergo,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,476.73,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Kaniv,WRI1005122,528,49.7665,31.4717,Hydro,,,,,Dnipro-SHEM PJSC,Dnipro-SHEM PJSC,http://sgem.com.ua/our_activity.html,GEODB,1020854,,,,,,,,,,2891.96,1903.64,1001.6,1547.77,1007.74,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
UKR,Ukraine,Karkov CHP-5,WRI1005126,540,49.9719,36.107,Gas,,,,,Naftogaz Ukrainy,Naftogaz Ukrainy,http://www.tec5.kharkov.ua/eng/index.php,GEODB,1020826,,,,,,,,,,,,,,1309,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Khmelnytska,WRI1005111,2000,50.3024,26.6473,Nuclear,,,,,Energoatom,Energoatom,http://www.energoatom.kiev.ua/en/separated/npp_khmelnytska/,WRI,1017728,,,,,,,,,,,,,,12330.83,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Kiev,WRI1005123,440,50.5883,30.5118,Hydro,,,,,Dnipro-SHEM PJSC,Dnipro-SHEM PJSC,http://sgem.com.ua/our_activity.html,GEODB,1020858,,,,,,,,,,2049.59,1063.66,811.85,1104.56,1115.93,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
UKR,Ukraine,Kiev (pumped storage),WRI1005124,235,50.6113,30.4902,Hydro,,,,,Dnipro-SHEM PJSC,Dnipro-SHEM PJSC,http://sgem.com.ua/our_activity.html,GEODB,1020859,,,,,,,,,,1108.27,591.54,454.04,613.45,619.46,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
UKR,Ukraine,Kiev CHP-5,WRI1005125,1200,50.532,30.6625,Gas,,,,,Kyivenergo,DTEK,http://www.dtek.com/library/file/dtek-report-eng-2015-web.PDF,GEODB,1020856,,,,,,,,,,,,,,2908.9,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Kramatorskaya power station,WRI1075856,120,48.7477,37.5723,Coal,,,,1974,JSC Kramatorskteploenergo,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,238.36,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Kremenchug,WRI1005121,625,49.0748,33.2531,Hydro,,,,,Dnipro-SHEM PJSC,Dnipro-SHEM PJSC,http://sgem.com.ua/our_activity.html,WRI,1013718,,,,,,,,,,3423.25,3217.63,1550.8,1832.11,1620.47,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
UKR,Ukraine,Kryvorizka power station,WRI1005100,1764,47.5432,33.6583,Coal,,,,1967,DTEK,GCPT,https://endcoal.org/global-coal-plant-tracker/,GEODB,1013720,,,,,,,,,,,,,,3504.03,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Kurakhov power station,WRI1005104,1517,47.9944,37.2402,Coal,,,,1973,DTEK,DTEK,http://www.dtek.com/library/file/dtek-report-eng-2015-web.PDF,GEODB,1013749,,,,,,,,,,,,,,3013.38,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Ladyzhyn power station,WRI1005098,1800,48.706,29.2202,Coal,,,,1971,DTEK,DTEK,http://www.dtek.com/library/file/dtek-report-eng-2015-web.PDF,GEODB,1033752,,,,,,,,,,,,,,3575.54,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Lazurne,WKS0064695,9.5,46.097,32.478,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,15.84,15.88,16.03,16.02,15.37,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Limanskaya,WKS0061934,43.4,45.468,28.249,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,65.38,65.44,66.91,66.29,64.52,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Luhanska,WRI1005110,1210,48.7478,39.2624,Coal,,,,1965,DTEK,DTEK,http://www.dtek.com/library/file/dtek-report-eng-2015-web.PDF,GEODB,1013750,,,,,,,,,,,,,,2403.55,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Mironovskaya,WRI1005108,815,48.3407,38.4049,Coal,,,,,Donbascenergo,DTEK,http://www.dtek.com/library/file/dtek-report-eng-2015-web.PDF,CARMA,1013751,,,,,,,,,,,,,,1618.92,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Mityaevo,WKS0061379,31.6,45.2364,33.6776,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,50.7,51.94,51.51,50.55,49.17,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Nikolayevka,WKS0062511,69.8,44.967,33.752,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,109.28,110.81,109.58,109.3,106.44,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Nikopol,WKS0071509,10.7,47.775,34.095,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,16.1,16.24,16.19,16.28,16.22,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Ohotnikovo,WKS0060918,76,45.28,33.6011,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,122.33,122.22,127.44,124.47,117.02,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Perovo,WKS0060917,86.6,44.958,33.923,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,137.19,137.61,139.51,136.92,133.67,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Perovo I,WKS0064076,20,44.958,33.923,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,33.55,34.09,34.14,33.47,32.79,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Perovo II,WKS0064073,20,44.958,33.923,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,33.55,34.09,34.14,33.47,32.79,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Perovo III,WKS0064074,20,44.958,33.923,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,33.55,34.09,34.14,33.47,32.79,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Perovo IV,WKS0064075,20,44.958,33.923,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,33.55,34.09,34.14,33.47,32.79,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Perovo V,WKS0064072,25.6,44.958,33.923,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,40.56,41.14,41.37,40.54,39.68,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Porogi,WKS0062109,4.5,48.2514,28.3341,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,6.41,6.33,6.46,6.61,6.59,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Priozernaya,WKS0061933,54.8,45.467,29.292,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,88.44,86.91,89.04,84.2,85.66,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Prydniprovska power station,WRI1005102,1195,48.4052,35.1135,Coal,,,,1963,DTEK,DTEK,http://www.dtek.com/library/file/dtek-report-eng-2015-web.PDF,WRI,1013721,,,,,,,,,,,,,,2373.76,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Rivne (Rouno),WRI1005112,2835,51.3245,25.8974,Nuclear,,,,,Energoatom,Energoatom,http://www.energoatom.kiev.ua/en/separated/npp_rivne/,GEODB,1017729,,,,,,,,,,,,,,17478.95,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Rodnikovoye,WKS0061382,7.6,45.036,33.931,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,12.58,12.8,12.73,12.56,12.18,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Sambyrska II,WKS0065856,7,49.507,23.23,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,9.52,9.9,9.86,9.72,9.34,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Shargorod,WKS0064383,8,48.785,28.06,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,11.18,11.15,11.95,11.79,11.33,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Sievierodonetsk CHP power station,WRI1075857,210,48.9381,38.4563,Coal,,,,1973,JSC Severodonetsk CHP,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,,,,,,,,417.14,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Slavyansk power station,WRI1005109,600,48.872,37.7657,Coal,,,,1968,Donbascenergo,Donbascenergo,http://www.de.com.ua/slavyanskaya_TES,GEODB,1013752,,,,,,,,,,,,,,1191.84,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,South Ukraine,WRI1005113,3000,47.812,31.22,Nuclear,,,,,Energoatom,Energoatom,http://www.energoatom.kiev.ua/en/separated/npp_su/,GEODB,1017730,,,,,,,,,,,,,,18496.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Starobeshivska,WRI1005105,1775,47.7997,38.0061,Coal,,,,,Donbascenergo,Donbascenergo,http://www.de.com.ua/starobeshevskaya_TES,GEODB,1013753,,,,,,,,,,,,,,3525.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Starokozache,WKS0061380,43,46.344,30.004,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,62.75,62,66,62.55,64.96,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Stravchany,WKS0067737,4.9,48.751,27.313,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,6.56,6.7,7.19,7.2,6.77,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Tashlyk,WRI1005117,313,47.7968,31.1811,Hydro,,,,,Dnipro-SHEM PJSC,Dnipro-SHEM PJSC,http://sgem.com.ua/our_activity.html,GEODB,1032320,,,,,,,,,,643.44,560.33,267.5,385.06,302.77,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1,HYDRO-V1
UKR,Ukraine,Trypilska,WRI1005099,1800,50.1344,30.7468,Coal,,,,1970,Centrenergo,Centrenergo,http://www.centrenergo.com/en/divisions/trip/,GEODB,1011965,,,,,,,,,,,,,,3575.54,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Vesele,WKS0071515,16,47.075,34.93,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,24.55,24.46,25.25,24.73,25.56,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Vita,WKS0072580,13.5,47.645,31.89,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,20.5,20.61,20.79,20.43,20.65,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Voznesenk,WKS0061845,29.3,47.572,31.396,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,41.97,42.14,42.32,41.79,41.59,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Vuglegirska power station,WRI1005107,3600,48.4652,38.2027,Coal,,,,1973,Centrenergo,Centrenergo,http://www.centrenergo.com/en/divisions/vug/,WRI,,,,,,,,,,,,,,,7151.08,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Vysokopillya,WKS0068414,4,47.495,33.538,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,5.89,5.78,5.77,5.7,5.81,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
UKR,Ukraine,Zaporizhia power station,WRI1005101,2825,47.5089,34.6253,Coal,,,,1972,DTEK,DTEK,http://www.dtek.com/library/file/dtek-report-eng-2015-web.PDF,GEODB,1013722,,,,,,,,,,,,,,5611.61,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Zaporozhye,WRI1005114,6000,47.5119,34.5863,Nuclear,,,,,Energoatom,Energoatom,http://www.energoatom.kiev.ua/en/separated/npp_zp/,GEODB,1013724,,,,,,,,,,,,,,36992.5,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Zmiivska power station,WRI1005103,2425,49.5853,36.5236,Coal,,,,1965,Centrenergo,GCPT,https://endcoal.org/global-coal-plant-tracker/,WRI,1011967,,,,,,,,,,,,,,4817.05,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
UKR,Ukraine,Zuevskaya power station,WRI1005106,1290,48.0332,38.2887,Coal,,,,1985,DTEK,GCPT,https://endcoal.org/global-coal-plant-tracker/,WRI,1013755,,,,,,,,,,,,,,2562.47,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1